senderUsername,textContent,mediaPath,mediaType,channel,receivedDate,receivedTime
ik,hello here,,,general,2026-04-02,14:16:03
ik,,/uploads/1775139376249-c6c2510a-35kjpbj71qm51.png,image,general,2026-04-02,14:16:16
ik,hi,/uploads/1775139633962-e0d1a301-3dc75efb0c01e678d7083fab7794f661.jpg,image,general,2026-04-02,14:20:33
some,fuck,/uploads/1775139869065-db1dc65c-AVvXsEiB-6BuccqoXpOjS2N7yboF1Nd4o_7B3kqo8i-vHtsTJi1TFKCm58DYBHTx6SDDDp4J5MnivHcITN_xFLyS9zOes3qf8OQVky63oXbPksqN4TycQ_Wn2sj-2AWCEK3gkrqEDeMo0c6FgT7W0d2d355GNx2PewlrdPa4h6nnVtnEZeMcaB0QA_Qa3kGPKfaV-s2160-rw-2540859051.webp,image,general,2026-04-02,14:24:29
,hello,,,general,2026-04-02,14:26:16
ik,4k,/uploads/1775140447430-ebbd2a70-oiwm7glsh0p91.png,image,general,2026-04-02,14:34:08
new,test,,,general,2026-04-02,14:34:25
ik,sign in,,,general,2026-04-02,14:34:51
